,population density P,proportion A
1129,5.452747086,0.199493144
1045,33.82709077,0.173350635
1067,11.63420768,0.230966688
1121,41.69988576,0.183434978
1043,44.92166811,0.187702744
1111,14.51501953,0.207413141
1075,8.901988808,0.21743487
1127,31.32892919,0.196131244
1023,5.307013065,0.23079959
1133,14.37973624,0.218456704
1001,37.5471316,0.156931762
1019,16.06692968,0.234012734
1105,4.537093997,0.204158346
1123,20.80082198,0.222881212
1009,35.07858467,0.184677829
1029,10.35570448,0.198910806
1021,24.78947404,0.166692586
1049,35.50310873,0.171928453
1065,8.695571326,0.196172572
1085,5.492251243,0.194070342
1117,106.3364709,0.156923932
1063,4.520630262,0.238132195
1027,9.068682661,0.206714898
1095,60.46616554,0.167501614
1119,5.216951242,0.183408944
1039,13.88231305,0.215850704
1059,19.16711329,0.170061036
1003,53.22059311,0.208799317
1109,18.91851701,0.151536271
1115,54.03519165,0.17180872
1011,6.393905565,0.175096525
1097,126.2376121,0.164844543
1077,50.18172398,0.201481371
1093,15.23335662,0.209032038
1107,8.299018734,0.192420282
1083,65.84549425,0.151875634
1131,4.506698548,0.201075675
1051,51.66924938,0.156899295
1079,17.80804376,0.187095604
1025,7.111551109,0.204625179
1035,5.245984278,0.235664396
1069,71.10665224,0.179651499
1073,231.5167517,0.160433906
1005,10.76166999,0.195410044
1081,109.1668914,0.123646318
1089,184.3717654,0.15057168
1055,72.76085141,0.191803469
1101,110.4443542,0.154665607
1013,9.447524302,0.204872414
1103,79.53304168,0.174755315
1047,14.93108011,0.190831557
1113,35.27920059,0.147899699
1061,17.76296128,0.204741541
1099,7.371876404,0.20838602
1017,22.24503972,0.198895663
1033,35.43952997,0.199259156
1057,10.01107429,0.214014455
1087,12.28918335,0.19926256
1125,64.83357134,0.135955813
1031,30.30134247,0.169157672
1015,73.41357786,0.177652202
1091,7.588610008,0.200310479
1071,18.01013897,0.205081877
1007,13.73970218,0.169319761
1041,8.331926904,0.1938907
1053,14.88541219,0.186031332
1037,6.009346293,0.240412411
48075,3.607579314,0.166316737
48181,53.43689754,0.177013937
48249,17.26171813,0.156943409
48317,2.207191994,0.113211149
48377,0.613369259,0.232675689
48057,10.40814118,0.184282517
48091,108.3129506,0.18533311
48193,3.792387718,0.255565016
48219,9.150358354,0.151935753
48349,18.69348294,0.16331262
48367,62.84889592,0.156854675
48389,2.152854647,0.106762531
48407,16.83280412,0.217688068
48459,26.62820644,0.184207952
48475,5.370967469,0.130584192
48083,2.314290259,0.260960062
48121,367.5820809,0.107037694
48135,70.67408289,0.0962584
48353,6.223055041,0.186439528
48141,329.0155311,0.124853724
48281,11.69626533,0.200564058
48331,9.350069978,0.210409343
48469,39.61495711,0.164801472
48501,3.711882063,0.122303093
48005,38.54220974,0.163287037
48043,0.594424388,0.226191723
48055,32.37851847,0.15
48107,2.195894626,0.187170988
48147,15.31039626,0.180645523
48201,1030.23157,0.10960212
48265,18.31718566,0.282862087
48397,279.4278687,0.124077371
48423,94.85997522,0.16900944
48503,7.408783498,0.203380345
48257,69.43514309,0.113649033
48343,17.85921688,0.215383331
48357,4.212420542,0.121118323
48421,1.163588571,0.153182309
48063,23.66883816,0.190468549
48089,8.141183877,0.224292246
48221,54.39750742,0.250300334
48403,6.618906494,0.305881164
48449,28.32586085,0.14708236
48031,6.149037216,0.257846154
48099,30.32422311,0.106192454
48303,133.0986284,0.127938757
48359,0.452155256,0.152445961
48363,11.12713008,0.198606272
48493,23.73430618,0.163568026
48313,10.99327707,0.155623236
48497,28.70649634,0.151986712
48505,5.06024838,0.134370274
48189,12.49560874,0.1398266
48051,10.05330033,0.211018534
48117,4.787706838,0.130004305
48223,17.9108373,0.183659047
48321,10.11014877,0.173167099
48183,173.8395511,0.155403339
48301,0.035923718,0.063492063
48017,3.220455047,0.144864552
48123,8.39434239,0.197991826
48143,15.06318487,0.142773194
48387,4.230944669,0.253688843
48477,22.20856309,0.218870454
48479,30.49240647,0.097666531
48481,14.64897465,0.175891848
48061,161.2233115,0.138371099
48133,7.337214111,0.218416747
48399,3.612593774,0.208526975
48199,24.16761494,0.169556326
48253,8.091698423,0.152996845
48309,94.81288242,0.148387493
48347,25.42275692,0.151687653
48427,20.68519101,0.112149391
48007,31.67954067,0.279071719
